ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-295,STATE_12950000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-296,STATE_12960000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-297,STATE_12970000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-298,STATE_12980000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-299,STATE_12990000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-300,STATE_13000000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-301,STATE_13010000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-302,STATE_13020000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-303,STATE_13030000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-304,STATE_13040000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-305,STATE_13050000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-306,STATE_13060000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-307,STATE_13070000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-308,STATE_13080000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-309,STATE_13090000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-310,STATE_13100000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-311,STATE_13110000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-312,STATE_13120000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-313,STATE_13130000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-314,STATE_13140000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-315,STATE_13150000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-316,STATE_13160000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-317,STATE_13170000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-318,STATE_13180000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-319,STATE_13190000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-320,STATE_13200000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-321,STATE_13210000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-322,STATE_13220000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-323,STATE_13230000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-324,STATE_13240000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-325,STATE_13250000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-326,STATE_13260000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-327,STATE_13270000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-328,STATE_13280000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-329,STATE_13290000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-330,STATE_13300000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-331,STATE_13310000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-332,STATE_13320000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-333,STATE_13330000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-334,STATE_13340000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-335,STATE_13350000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-336,STATE_13360000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-337,STATE_13370000,posterior.trees,true,sample,bayesian,years,Lee_2013
posterior-338,STATE_13380000,posterior.trees,true,sample,bayesian,years,Lee_2013
